TDEP,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE
21.0,8.5,4.369146347045898,-4.130853652954102,78.7844467163086,20.74935340881348,56.571266174316406,2.0023298263549805,0.1350065469741821,0.5430483818054199,10.0
21.2,8.5,4.364140033721924,-4.135859966278076,76.54074096679688,20.74935340881348,56.571266174316406,2.0023298263549805,0.1350065469741821,0.503262460231781,10.0
21.3,8.5,4.359133720397949,-4.140866279602051,77.26671600341797,20.74935340881348,56.571266174316406,2.0023298263549805,0.1350065469741821,0.4798293113708496,10.0
21.5,8.5,4.364140033721924,-4.135859966278076,76.74532318115234,20.74935340881348,56.571266174316406,2.0023298263549805,0.1350065469741821,0.5036386847496033,10.0
21.6,8.5,4.359133720397949,-4.140866279602051,80.54004669189453,20.74935340881348,56.3719482421875,2.0023298263549805,0.1350065469741821,0.5158346891403198,10.0
21.8,8.5,4.367477893829346,-4.132522106170654,78.74413299560547,20.74935340881348,56.40599060058594,2.0023298263549805,0.1350065469741821,0.528773844242096,10.0
21.9,8.5,4.374152660369873,-4.125847339630127,77.38796997070312,20.74935340881348,56.64253234863281,2.0023298263549805,0.1350065469741821,0.5123653411865234,10.0
22.1,8.5,4.369146347045898,-4.130853652954102,75.76428985595703,20.74935340881348,56.29019927978516,2.0023298263549805,0.1350065469741821,0.5159056782722473,10.0
22.3,8.5,4.359133720397949,-4.140866279602051,73.23368072509766,20.74935340881348,56.523834228515625,2.0023298263549805,0.1350065469741821,0.5127753019332886,10.0
22.4,8.5,4.359133720397949,-4.140866279602051,73.13581085205078,20.74935340881348,56.23460388183594,2.0023298263549805,0.1350065469741821,0.5159316062927246,10.0
22.6,8.5,4.359133720397949,-4.140866279602051,71.9839859008789,20.74935340881348,56.20149230957031,2.0023298263549805,0.1350065469741821,0.507469654083252,10.0
22.7,8.5,4.359133720397949,-4.140866279602051,75.82071685791016,20.74935340881348,56.13511657714844,1.9955490827560425,0.1312004327774047,0.501400887966156,10.0
22.9,8.5,4.364140033721924,-4.135859966278076,74.85736083984375,20.74935340881348,56.55473327636719,1.982685089111328,0.1251800060272216,0.4845632016658783,10.0
23.0,8.5,4.359133720397949,-4.140866279602051,73.4696044921875,20.74935340881348,56.59442901611328,1.977888584136963,0.1225391626358032,0.5139158368110657,10.0
23.2,8.5,4.369146347045898,-4.130853652954102,71.96839141845703,20.74935340881348,56.17427062988281,1.9893596172332764,0.1285514831542968,0.527638852596283,10.0
23.3,8.5,4.359133720397949,-4.140866279602051,72.294921875,20.74935340881348,56.321075439453125,2.000274419784546,0.1332218647003173,0.5461915731430054,10.0
23.5,8.5,4.369146347045898,-4.130853652954102,72.38469696044922,20.74935340881348,56.158241271972656,1.9985543489456177,0.1306346654891967,0.557479739189148,10.0
23.6,8.5,4.359133720397949,-4.140866279602051,69.80428314208984,20.74935340881348,56.59895324707031,1.9875576496124268,0.1221047639846801,0.563990592956543,10.0
23.8,8.5,4.364140033721924,-4.135859966278076,68.13176727294922,20.74935340881348,56.77250671386719,1.984950304031372,0.118249773979187,0.5362291932106018,10.0
23.9,8.5,4.369146347045898,-4.130853652954102,64.98189544677734,20.74935340881348,56.82788848876953,1.99628484249115,0.1245143413543701,0.5320258736610413,10.0
24.1,8.5,4.374152660369873,-4.125847339630127,64.0093765258789,20.74935340881348,56.75791931152344,2.0093817710876465,0.1348562240600586,0.5111140012741089,10.0
24.2,8.5,4.364140033721924,-4.135859966278076,64.04923248291016,20.74935340881348,56.61720275878906,2.011932849884033,0.1423532962799072,0.5090960264205933,10.0
24.4,8.5,4.359133720397949,-4.140866279602051,66.21138000488281,20.74935340881348,56.73351287841797,2.007530689239502,0.1469864845275879,0.5091761350631714,10.0
24.5,8.5,4.364140033721924,-4.135859966278076,65.06010437011719,20.74935340881348,56.85388946533203,2.00629997253418,0.1514054536819458,0.5061260461807251,10.0
24.7,8.5,4.369146347045898,-4.130853652954102,63.345821380615234,20.74935340881348,57.35929870605469,2.014976739883423,0.1571590900421142,0.5259698033332825,10.0
24.8,8.5,4.367477893829346,-4.132522106170654,63.99888229370117,20.74935340881348,56.58042907714844,2.029690742492676,0.1634472608566284,0.4975826740264892,10.0
25.0,8.5,4.354127407073975,-4.145872592926025,63.75532150268555,20.74935340881348,56.495582580566406,2.042973518371582,0.1704949140548706,0.5233837962150574,10.0
