TDEP,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE
29.7,8.5,,,49.08551,,92.49742126464844,,,0.24352096,
29.9,8.5,3.708630084991455,-4.79137,49.08551,,92.49742126464844,2.159327983856201,0.181179404258728,0.24352096,9.706045150756836
30.0,8.5,3.697833299636841,-4.802167,57.464474,,92.49742126464844,2.159327983856201,0.181179404258728,0.15710047,9.706045150756836
30.2,8.5,3.708630084991455,-4.79137,62.067,,92.49742126464844,2.159327983856201,0.181179404258728,0.15328215,9.706045150756836
30.3,8.5,3.708630084991455,-4.79137,58.296345,,92.49742126464844,2.159327983856201,0.181179404258728,0.21065386,9.706045150756836
30.5,8.5,3.708630084991455,-4.79137,48.97162,,92.49742126464844,2.159327983856201,0.181179404258728,0.23293056,9.706045150756836
30.6,8.5,3.708630084991455,-4.79137,44.358093,,172.61578369140625,2.159327983856201,0.181179404258728,0.2318078,9.706045150756836
30.8,8.5,3.708630084991455,-4.79137,40.425106,,-50.070648193359375,2.159327983856201,0.181179404258728,0.2083285,9.706045150756836
30.9,8.5,3.697833299636841,-4.802167,40.17387,,56.94975280761719,2.159327983856201,0.181179404258728,0.21020718,9.706045150756836
31.1,8.5,3.697833299636841,-4.802167,38.012623,,57.11326599121094,2.159327983856201,0.181179404258728,0.25711226,9.706045150756836
31.2,8.5,3.697833299636841,-4.802167,39.20962,,55.01414489746094,2.159327983856201,0.181179404258728,0.28701386,9.706045150756836
31.4,8.5,3.708630084991455,-4.79137,39.542027,,50.0,2.159327983856201,0.181179404258728,0.30770463,9.706045150756836
31.5,8.5,3.708630084991455,-4.79137,42.39827,,206.36053466796875,2.145706415176392,0.1763250827789306,0.3104797,9.747432708740234
31.7,8.5,3.697833299636841,-4.802167,44.157303,,206.36053466796875,2.1294023990631104,0.1657807826995849,0.43649104,9.802030563354492
31.9,8.5,3.708630084991455,-4.79137,47.244884,,50.0,2.156298875808716,0.1689887046813964,0.6141969,9.795292854309082
32.0,8.5,3.708630084991455,-4.79137,47.586884,,206.25,2.2037274837493896,0.1825969219207763,0.70518535,9.76270580291748
32.2,8.5,3.708630084991455,-4.79137,47.01717,,206.25,2.2390856742858887,0.1965410709381103,0.7529379,9.75346851348877
32.3,8.5,3.697833299636841,-4.802167,44.110184,,50.0,2.24560284614563,0.2017667293548584,0.6882571,9.75969123840332
32.5,8.5,3.6870365142822266,-4.8129635,42.560574,,50.0,2.244157075881958,0.2045273780822754,0.7363095,9.771376609802246
32.6,8.5,3.697833299636841,-4.802167,40.672745,,219.97854614257807,2.2567310333251958,0.2113018035888672,0.6833984,9.760751724243164
32.8,8.5,3.708630084991455,-4.79137,39.6378,,50.0,2.2802364826202397,0.2228772640228271,0.7171713,9.74827480316162
32.9,8.5,3.708630084991455,-4.79137,36.741425,,50.0,2.294686794281006,0.2302956581115722,0.68049496,9.781192779541016
33.1,8.5,3.708630084991455,-4.79137,37.61093,,-89.84097290039062,2.288928747177124,0.2294538021087646,0.7293973,9.838154792785645
33.2,8.5,3.697833299636841,-4.802167,43.078815,,50.0,2.272118330001831,0.2247431278228759,0.72736716,9.909775733947754
33.4,8.5,3.708630084991455,-4.79137,49.46867,,50.0,2.264893054962158,0.2247421741485595,0.7600495,9.95057487487793
33.5,8.5,3.708630084991455,-4.79137,52.386036,,50.0,2.262570858001709,0.2238409519195556,0.7167273,9.984275817871094
33.7,8.5,3.708630084991455,-4.79137,56.226456,,-88.7457275390625,2.2613601684570312,0.2195684909820556,0.69748837,9.997538566589355
33.8,8.5,3.697833299636841,-4.802167,58.728565,,102.22653198242188,2.257119655609131,0.2099926471710205,0.6545147,10.0
34.0,8.5,3.697833299636841,-4.802167,62.906467,,153.0538330078125,2.264362096786499,0.206533670425415,0.6887545,10.0
34.1,8.5,3.708630084991455,-4.79137,59.312977,,151.50233459472656,2.280700922012329,0.2092413902282714,0.7522391,10.0
34.3,8.5,3.708630084991455,-4.79137,56.416367,,153.36441040039062,2.2938778400421143,0.2170455455780029,0.74078363,10.0
34.4,8.5,3.708630084991455,-4.79137,54.79308,,298.3201599121094,2.3042690753936768,0.2256622314453125,0.71475786,10.0
34.6,8.5,3.708630084991455,-4.79137,56.297623,,287.7425231933594,2.3174545764923096,0.2326312065124511,0.59276813,10.0
34.7,8.5,3.708630084991455,-4.79137,61.235138,,248.0567321777344,2.33829665184021,0.2370500564575195,0.5360703,10.0
34.9,8.5,3.697833299636841,-4.802167,69.3384,,253.82977294921875,2.355703592300415,0.2367119789123535,0.49791408,10.0
35.1,8.5,3.708630084991455,-4.79137,73.225685,,291.2444763183594,2.3697257041931152,0.2365858554840088,0.51414794,10.0
35.2,8.5,3.708630084991455,-4.79137,71.15348,,254.5692138671875,2.3823904991149902,0.2404167652130127,0.5592677,10.0
35.4,8.5,3.708630084991455,-4.79137,66.45281,,205.3113555908203,2.390410900115967,0.2469511032104492,0.5819148,10.0
35.5,8.5,3.708630084991455,-4.79137,67.14298,,156.3826446533203,2.393131971359253,0.2528667449951172,0.6170448,10.0
35.7,8.5,3.708630084991455,-4.79137,70.73442,,71.65533447265625,2.388627290725708,0.254378080368042,0.6027871,10.0
35.8,8.5,3.708630084991455,-4.79137,69.71473,,73.37205505371094,2.3840267658233643,0.2544083595275879,0.56727326,10.0
36.0,8.5,3.708630084991455,-4.79137,69.71473,,73.10132598876953,2.3685693740844727,0.249422550201416,0.48066497,10.0
36.1,8.5,3.697833299636841,-4.802167,67.16473,,40.39980316162109,2.3135616779327397,0.2258353233337402,0.39416024,10.0
36.3,8.5,3.708630084991455,-4.79137,62.81178,,58.11432647705078,2.2408735752105717,0.193310260772705,0.34987095,10.0
36.4,8.5,3.708630084991455,-4.79137,60.51318,,57.55358123779297,2.209442377090454,0.1769337654113769,0.41838372,10.0
36.6,8.5,3.697833299636841,-4.802167,61.384033,,58.92884063720703,2.233704090118408,0.1850202083587646,0.4917758,10.0
36.7,8.5,3.708630084991455,-4.79137,68.58555,,58.60802459716797,2.271568775177002,0.1977882385253906,0.47562084,10.0
36.9,8.5,3.708630084991455,-4.79137,78.84039,,60.25262451171875,2.281831979751587,0.1942627429962158,0.35242346,10.0
37.0,8.5,3.708630084991455,-4.79137,88.41635,,60.89091491699219,2.247971296310425,0.1662828922271728,0.21150666,10.0
37.2,8.5,3.708630084991455,-4.79137,94.49329,,60.42692565917969,2.138883352279663,0.1044023036956787,0.09927649,10.0
37.3,8.5,3.708630084991455,-4.79137,87.86749,,60.07292938232422,2.016441822052002,0.0444040298461914,0.022421086,10.0
37.5,8.5,3.708630084991455,-4.79137,87.37695,,60.216583251953125,1.9240206480026243,-0.0002156496047973,0.0026156383,10.0
37.6,8.5,3.708630084991455,-4.79137,84.908195,,60.332069396972656,1.913309454917908,-0.0042917728424072,-0.003306116,10.0
37.8,8.5,3.697833299636841,-4.802167,88.03483,,60.86659240722656,1.918209195137024,0.0006941556930541,-0.0011538927,10.0
37.9,8.5,3.708630084991455,-4.79137,81.76798,,69.09695434570312,1.9169163703918457,0.0086672306060791,0.007962601,10.0
38.1,8.5,3.708630084991455,-4.79137,74.75952,,68.66912078857422,1.9220610857009888,0.0182960033416748,0.024639785,10.0
38.3,8.5,3.708630084991455,-4.79137,67.05432,,68.83909606933594,1.924893856048584,0.0252747535705566,0.03785836,10.0
38.4,8.5,3.6870365142822266,-4.8129635,68.68173,,63.07540893554688,1.937767744064331,0.0392173528671264,0.03441032,10.0
38.6,8.5,3.708630084991455,-4.79137,75.120476,,63.97551727294922,1.9472345113754272,0.0489873886108398,0.03350023,10.0
38.7,8.5,3.708630084991455,-4.79137,90.69265,,63.296661376953125,1.952745795249939,0.0450537204742431,0.03461283,10.0
38.9,8.5,3.708630084991455,-4.79137,107.71206,,63.61954498291016,1.9611165523529053,0.0334035158157348,0.043805253,10.0
39.0,8.5,3.708630084991455,-4.79137,125.22886,,62.995704650878906,1.9666187763214111,0.0218111276626586,0.039367437,10.0
39.2,8.5,3.708630084991455,-4.79137,143.50488,,62.94310760498047,1.967629075050354,0.0179262161254882,0.029790325,10.0
39.3,8.5,3.708630084991455,-4.79137,148.40622,,58.043724060058594,1.9465736150741575,0.0189098119735717,0.011927343,10.0
39.5,8.5,3.6870365142822266,-4.8129635,144.94234,,56.63107299804688,1.896283507347107,0.0126818418502807,0.00093311386,10.0
39.6,8.5,3.708630084991455,-4.79137,129.74332,,56.68394470214844,1.8508788347244265,0.0093132257461547,-0.003683516,10.0
39.8,8.5,3.708630084991455,-4.79137,121.76733,,54.78504943847656,1.8334194421768188,0.0025074481964111,-0.0012651131,10.0
39.9,8.5,3.697833299636841,-4.802167,121.99246,,55.3421630859375,1.8569666147232056,0.0051182508468627,0.0020676197,10.0
40.1,8.5,3.708630084991455,-4.79137,124.526245,,56.74781799316406,1.880764722824097,0.0057951211929321,0.0013117378,10.0
40.2,8.5,3.708630084991455,-4.79137,120.94871,,56.68096923828125,1.8907289505004885,0.0056866407394409,-0.0023746267,10.0
40.4,8.5,3.708630084991455,-4.79137,113.3173,,56.65165710449219,1.889188528060913,0.0039535760879516,-0.004724577,10.0
40.5,8.5,3.708630084991455,-4.79137,103.71854,,71.26728820800781,1.8749382495880127,0.0020121335983276,-0.004666373,10.0
40.7,8.5,3.708630084991455,-4.79137,100.704285,,64.78338623046875,1.869610071182251,0.0020331144332885,-0.0013107307,10.0
40.8,8.5,3.697833299636841,-4.802167,94.43743,,74.0909652709961,1.8958920240402224,0.0078153610229492,0.0030203396,9.991069793701172
41.0,8.5,3.708630084991455,-4.79137,85.341125,,66.4417495727539,1.928534150123596,0.0121111869812011,0.009216859,9.991069793701172
41.1,8.5,3.697833299636841,-4.802167,78.99356,,65.50980377197266,1.9929118156433103,0.034671664237976,0.014710699,9.991069793701172
41.3,8.5,3.6870365142822266,-4.8129635,75.976265,,55.36375427246094,2.001999855041504,0.0445520877838134,0.019742211,10.0
